 ******* Program HYDRUS
 ******* Fertilization optimization                                              
 Date: ***.**.    Time: ***:**:**
 Units: L = mm   , T = hours, M = M    


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp   Conc(1..NS) Sorb(1...NS)
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]      [M/L*3]

  12   -11.0000     -64.086 0.1602   0.7812E-02  0.1020E-02  0.1212E-02  0.0000E+00      -1   0.404E-03   20.00  0.7299E+00  0.0000E+00
  13   -12.0000     -62.941 0.1613   0.8117E-02  0.1043E-02  0.1092E-02  0.0000E+00      -1   0.364E-03   20.00  0.5160E+00  0.0000E+00
  14   -13.0000     -61.817 0.1624   0.8415E-02  0.1064E-02  0.9558E-03  0.0000E+00      -1   0.319E-03   20.00  0.3796E+00  0.0000E+00
  15   -14.0000     -60.714 0.1634   0.8708E-02  0.1086E-02  0.8052E-03  0.0000E+00      -1   0.268E-03   20.00  0.3095E+00  0.0000E+00
  16   -15.0000     -59.632 0.1645   0.9104E-02  0.1110E-02  0.6117E-03  0.0000E+00      -1   0.204E-03   20.00  0.2989E+00  0.0000E+00
  17   -16.0000     -58.579 0.1659   0.9743E-02  0.1143E-02  0.3751E-03  0.0000E+00      -1   0.125E-03   20.00  0.3581E+00  0.0000E+00
  18   -17.0000     -57.554 0.1672   0.1037E-01  0.1175E-02  0.1272E-03  0.0000E+00      -1   0.424E-04   20.00  0.5137E+00  0.0000E+00
  19   -18.0000     -56.554 0.1685   0.1097E-01  0.1207E-02 -0.1283E-03  0.0000E+00      -1  -0.428E-04   20.00  0.7672E+00  0.0000E+00
  20   -19.0000     -55.577 0.1697   0.1157E-01  0.1237E-02 -0.3865E-03  0.0000E+00      -1  -0.129E-03   20.00  0.1055E+01  0.0000E+00
  21   -20.0000     -54.620 0.1709   0.1215E-01  0.1267E-02 -0.6418E-03  0.0000E+00      -1  -0.214E-03   20.00  0.1303E+01  0.0000E+00
  22   -21.0000     -53.682 0.1721   0.1272E-01  0.1297E-02 -0.8879E-03  0.0000E+00      -1  -0.296E-03   20.00  0.1546E+01  0.0000E+00
  23   -22.0000     -52.760 0.1733   0.1328E-01  0.1325E-02 -0.1119E-02  0.0000E+00      -1  -0.373E-03   20.00  0.1801E+01  0.0000E+00
  24   -23.0000     -51.851 0.1745   0.1383E-01  0.1354E-02 -0.1330E-02  0.0000E+00      -1  -0.443E-03   20.00  0.2060E+01  0.0000E+00
  25   -24.0000     -50.952 0.1756   0.1437E-01  0.1382E-02 -0.1518E-02  0.0000E+00      -1  -0.506E-03   20.00  0.2316E+01  0.0000E+00
  26   -25.0000     -50.062 0.1768   0.1491E-01  0.1410E-02 -0.1680E-02  0.0000E+00      -1  -0.560E-03   20.00  0.2561E+01  0.0000E+00
  27   -26.0000     -49.177 0.1779   0.1545E-01  0.1438E-02 -0.1817E-02  0.0000E+00      -1  -0.606E-03   20.00  0.2787E+01  0.0000E+00
  28   -27.0000     -48.297 0.1790   0.1599E-01  0.1465E-02 -0.1927E-02  0.0000E+00      -1  -0.642E-03   20.00  0.2986E+01  0.0000E+00
  29   -28.0000     -47.418 0.1802   0.1659E-01  0.1494E-02 -0.2027E-02  0.0000E+00      -1  -0.676E-03   20.00  0.3151E+01  0.0000E+00
  30   -29.0000     -46.539 0.1817   0.1777E-01  0.1537E-02 -0.2115E-02  0.0000E+00      -1  -0.705E-03   20.00  0.3277E+01  0.0000E+00
  31   -30.0000     -45.656 0.1832   0.1896E-01  0.1580E-02 -0.2179E-02  0.0000E+00      -1  -0.726E-03   20.00  0.3357E+01  0.0000E+00
  32   -31.0000     -44.769 0.1847   0.2015E-01  0.1622E-02 -0.2222E-02  0.0000E+00      -1  -0.741E-03   20.00  0.3385E+01  0.0000E+00
  33   -32.0000     -43.877 0.1863   0.2135E-01  0.1666E-02 -0.2246E-02  0.0000E+00      -1  -0.749E-03   20.00  0.3363E+01  0.0000E+00
  34   -33.0000     -42.980 0.1878   0.2256E-01  0.1709E-02 -0.2253E-02  0.0000E+00      -1  -0.751E-03   20.00  0.3289E+01  0.0000E+00
  35   -34.0000     -42.077 0.1893   0.2377E-01  0.1753E-02 -0.2242E-02  0.0000E+00      -1  -0.747E-03   20.00  0.3169E+01  0.0000E+00
  36   -35.0000     -41.168 0.1909   0.2499E-01  0.1797E-02 -0.2215E-02  0.0000E+00      -1  -0.738E-03   20.00  0.3007E+01  0.0000E+00
  37   -36.0000     -40.254 0.1925   0.2622E-01  0.1841E-02 -0.2172E-02  0.0000E+00      -1  -0.724E-03   20.00  0.2811E+01  0.0000E+00
  38   -37.0000     -39.334 0.1940   0.2746E-01  0.1885E-02 -0.2113E-02  0.0000E+00      -1  -0.704E-03   20.00  0.2589E+01  0.0000E+00
  39   -38.0000     -38.408 0.1956   0.2871E-01  0.1930E-02 -0.2038E-02  0.0000E+00      -1  -0.679E-03   20.00  0.2352E+01  0.0000E+00
  40   -39.0000     -37.476 0.1973   0.3023E-01  0.1979E-02 -0.1934E-02  0.0000E+00      -1  -0.645E-03   20.00  0.2103E+01  0.0000E+00
  41   -40.0000     -36.535 0.1994   0.3292E-01  0.2045E-02 -0.1799E-02  0.0000E+00      -1  -0.600E-03   20.00  0.1853E+01  0.0000E+00
  42   -41.0000     -35.586 0.2015   0.3565E-01  0.2112E-02 -0.1649E-02  0.0000E+00      -1  -0.550E-03   20.00  0.1609E+01  0.0000E+00
  43   -42.0000     -34.628 0.2037   0.3839E-01  0.2179E-02 -0.1485E-02  0.0000E+00      -1  -0.495E-03   20.00  0.1377E+01  0.0000E+00
  44   -43.0000     -33.663 0.2058   0.4116E-01  0.2246E-02 -0.1310E-02  0.0000E+00      -1  -0.437E-03   20.00  0.1164E+01  0.0000E+00
  45   -44.0000     -32.692 0.2080   0.4394E-01  0.2315E-02 -0.1126E-02  0.0000E+00      -1  -0.375E-03   20.00  0.9736E+00  0.0000E+00
  46   -45.0000     -31.715 0.2101   0.4675E-01  0.2383E-02 -0.9354E-03  0.0000E+00      -1  -0.312E-03   20.00  0.8089E+00  0.0000E+00
  47   -46.0000     -30.732 0.2123   0.4956E-01  0.2452E-02 -0.7388E-03  0.0000E+00      -1  -0.246E-03   20.00  0.6729E+00  0.0000E+00
  48   -47.0000     -29.745 0.2146   0.5267E-01  0.2523E-02 -0.5122E-03  0.0000E+00      -1  -0.171E-03   20.00  0.5685E+00  0.0000E+00
  49   -48.0000     -28.751 0.2173   0.5844E-01  0.2616E-02 -0.2568E-03  0.0000E+00      -1  -0.856E-04   20.00  0.5032E+00  0.0000E+00
  50   -49.0000     -27.754 0.2201   0.6425E-01  0.2710E-02 -0.1286E-03  0.0000E+00      -1  -0.429E-04   20.00  0.5032E+00  0.0000E+00
end


 Time:        3.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp   Conc(1..NS) Sorb(1...NS)
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]      [M/L*3]

   1     0.0000     -76.609 0.1488   0.4633E-02  0.7861E-03  0.1817E-07  0.0000E+00      -1   0.606E-08   20.00  0.8042E+01  0.0000E+00
   2    -1.0000     -75.590 0.1495   0.4758E-02  0.7983E-03  0.1901E-03  0.0000E+00      -1   0.634E-04   20.00  0.7152E+01  0.0000E+00
   3    -2.0000     -74.531 0.1505   0.5039E-02  0.8187E-03  0.4053E-03  0.0000E+00      -1   0.135E-03   20.00  0.6211E+01  0.0000E+00
   4    -3.0000     -73.430 0.1515   0.5331E-02  0.8400E-03  0.6222E-03  0.0000E+00      -1   0.207E-03   20.00  0.5297E+01  0.0000E+00
   5    -4.0000     -72.298 0.1526   0.5632E-02  0.8618E-03  0.8073E-03  0.0000E+00      -1   0.269E-03   20.00  0.4436E+01  0.0000E+00
