Pcp_File_Version=4
0
1001 1 1 1          x    h  Mat  Lay      Beta  Axz  Bxz  Dxz  Temp  Conc SConc
221   -22.0  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
222   -22.1  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
223   -22.2  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
224   -22.3  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
225   -22.4  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
226   -22.5  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
227   -22.6  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
228   -22.7  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
229   -22.8  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
230   -22.9  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
231   -23.0  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
232   -23.1  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
233   -23.2  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
234   -23.3  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
235   -23.4  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
236   -23.5  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
237   -23.6  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
238   -23.7  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
239   -23.8  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
240   -23.9  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
241   -24.0  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
242   -24.1  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
243   -24.2  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
244   -24.3  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
245   -24.4  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
246   -24.5  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
247   -24.6  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
248   -24.7  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
249   -24.8  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
250   -24.9  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
251   -25.0  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
252   -25.1  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
253   -25.2  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
254   -25.3  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
255   -25.4  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
256   -25.5  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
257   -25.6  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
258   -25.7  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
259   -25.8  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
260   -25.9  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
261   -26.0  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
262   -26.1  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
263   -26.2  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
264   -26.3  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
265   -26.4  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
266   -26.5  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
267   -26.6  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
268   -26.7  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
269   -26.8  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
270   -26.9  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
271   -27.0  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
272   -27.1  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
273   -27.2  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
274   -27.3  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
275   -27.4  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
276   -27.5  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
277   -27.6  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
278   -27.7  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
279   -27.8  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
280   -27.9  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
281   -28.0  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
282   -28.1  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
283   -28.2  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
284   -28.3  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
285   -28.4  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
286   -28.5  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
287   -28.6  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
288   -28.7  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
289   -28.8  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
290   -28.9  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
291   -29.0  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
292   -29.1  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
293   -29.2  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
294   -29.3  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
295   -29.4  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
296   -29.5  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
297   -29.6  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
298   -29.7  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
299   -29.8  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
300   -29.9  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
301   -30.0  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
302   -30.1  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
303   -30.2  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
304   -30.3  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
305   -30.4  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
306   -30.5  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
307   -30.6  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
308   -30.7  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
309   -30.8  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
310   -30.9  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
311   -31.0  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
312   -31.1  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
313   -31.2  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
314   -31.3  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
315   -31.4  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
316   -31.5  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
317   -31.6  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
318   -31.7  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
319   -31.8  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
320   -31.9  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
321   -32.0  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
322   -32.1  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
323   -32.2  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
324   -32.3  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
325   -32.4  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
326   -32.5  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
327   -32.6  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
328   -32.7  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
329   -32.8  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
330   -32.9  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
331   -33.0  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
332   -33.1  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
333   -33.2  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
334   -33.3  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
335   -33.4  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
336   -33.5  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
337   -33.6  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
338   -33.7  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
339   -33.8  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
340   -33.9  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
341   -34.0  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
342   -34.1  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
343   -34.2  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
344   -34.3  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
345   -34.4  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
346   -34.5  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
347   -34.6  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
348   -34.7  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
349   -34.8  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
